instrument,mode,det_samp_spec,det_samp_img,fov,iq_min,iq_max,resolution,wavelength,band_width,grcwlen_min,grcwlen_max,filter,disperser,fpu,slit_width,ao,spatial_dims,coronagraph,skysub,mos,minexp,site
FLAMINGOS2,imaging,0.178,0.178,366,0.25,10,7.8125,1.25,0.16,1.17,1.33,J,none,none,999,no,2,no,normal,no,0.5,s
FLAMINGOS2,imaging,0.178,0.178,366,0.25,10,5.637931034,1.635,0.29,1.49,1.78,H,none,none,999,no,2,no,normal,no,0.5,s
FLAMINGOS2,imaging,0.178,0.178,366,0.25,10,6.470588235,2.157,0.329,1.991,2.32,Ks,none,none,999,no,2,no,normal,no,0.5,s
FLAMINGOS2,imaging,0.178,0.178,366,0.25,10,6.470588235,2.06,0.183,1.934,2.117,K-blue,none,none,999,no,2,no,normal,no,0.5,s
FLAMINGOS2,imaging,0.178,0.178,366,0.25,10,6.470588235,2.31,0.265,2.181,2.446,K-red,none,none,999,no,2,no,normal,no,0.5,s
GSAOI,imaging,0.02,0.02,85,0.05,10,7.8125,1.25,0.16,1.17,1.33,J,none,none,999,yes,2,no,normal,no,0.5,s
GSAOI,imaging,0.02,0.02,85,0.05,10,5.637931034,1.635,0.29,1.49,1.78,H,none,none,999,yes,2,no,normal,no,0.5,s
GSAOI,imaging,0.02,0.02,85,0.05,10,6.470588235,2.2,0.34,2.03,2.37,K,none,none,999,yes,2,no,normal,no,0.5,s
GMOS-S,imaging,0.08,0.08,330,0.25,10,3.084415584,0.475,0.154,0.398,0.552,g,none,none,999,no,2,no,normal,no,1,s
GMOS-S,imaging,0.08,0.08,330,0.25,10,4.632352941,0.63,0.136,0.562,0.698,r,none,none,999,no,2,no,normal,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,1688,0.461,0.73,0.37,1.1,none,B600,0.5arcsec,0.5,no,1,no,normal,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,3744,0.461,0.73,0.37,1.1,none,B1200,0.5arcsec,0.5,no,1,no,normal,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,4396,0.757,0.73,0.37,1.1,none,R831,0.5arcsec,0.5,no,1,no,normal,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,1918,0.764,0.73,0.37,1.1,none,R400,0.5arcsec,0.5,no,1,no,normal,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,631,0.717,0.73,0.37,1.1,none,R150,0.5arcsec,0.5,no,1,no,normal,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,844,0.461,0.73,0.37,1.1,none,B600,1.0arcsec,1,no,1,no,normal,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,1872,0.461,0.73,0.37,1.1,none,B1200,1.0arcsec,1,no,1,no,normal,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,2198,0.757,0.73,0.37,1.1,none,R831,1.0arcsec,1,no,1,no,normal,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,959,0.764,0.73,0.37,1.1,none,R400,1.0arcsec,1,no,1,no,normal,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,315.5,0.717,0.73,0.37,1.1,none,R150,1.0arcsec,1,no,1,no,normal,no,1,s
GMOS-S,spec,0.08,0.08,5,0.25,10,2722,0.461,0.73,0.37,1.1,none,B600,IFU1,999,no,2,no,normal,no,1,s
GMOS-S,spec,0.08,0.08,7,0.25,10,2722,0.461,0.154,0.398,0.552,g,B600,IFU2,999,no,2,no,normal,no,1,s
GMOS-S,spec,0.08,0.08,5,0.25,10,2722,0.461,0.73,0.37,1.1,none,B600,IFU1 N&S,999,no,2,no,high,no,1,s
GMOS-S,spec,0.08,0.08,7,0.25,10,2722,0.461,0.154,0.398,0.552,g,B600,IFU2 N&S,999,no,2,no,high,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,844,0.461,0.73,0.37,1.1,none,B600,MOS,999,no,1,no,high,yes,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,1872,0.461,0.73,0.37,1.1,none,B1200,MOS,999,no,1,no,high,yes,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,2198,0.757,0.73,0.37,1.1,none,R831,MOS,999,no,1,no,high,yes,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,959,0.764,0.73,0.37,1.1,none,R400,MOS,999,no,1,no,high,yes,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,315.5,0.717,0.73,0.37,1.1,none,R150,MOS,999,no,1,no,high,yes,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,844,0.461,0.73,0.37,1.1,none,B600,N&S 1.0arcsec,1,no,1,no,high,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,1872,0.461,0.73,0.37,1.1,none,B1200,N&S 1.0arcsec,1,no,1,no,high,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,2198,0.757,0.73,0.37,1.1,none,R831,N&S 1.0arcsec,1,no,1,no,high,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,2198,0.86,0.153,0.78,0.933,CaT,R831,N&S 1.0arcsec,1,no,1,no,high,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,959,0.764,0.73,0.37,1.1,none,R400,N&S 1.0arcsec,1,no,1,no,high,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,315.5,0.717,0.73,0.37,1.1,none,R150,N&S 1.0arcsec,1,no,1,no,high,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,315.5,0.78,0.64,0.46,1.1,GG455,R150,N&S 1.0arcsec,1,no,1,no,high,no,1,s
GMOS-S,spec,0.08,0.08,330,0.25,10,315.5,0.81,0.58,0.52,1.1,GG515,R150,N&S 1.0arcsec,1,no,1,no,high,no,1,s
NIFS,spec,0.103,0.043,3,0.25,10,5290,2.2,0.43,1.98,2.41,HK,K,none,999,no,2,no,normal,no,0.5,s
NIFS,spec,0.103,0.043,3,0.1,10,4990,1.05,0.22,0.94,1.16,ZJ,Z,none,999,yes,2,no,normal,no,0.5,n
NIFS,spec,0.103,0.043,3,0.1,10,6040,1.25,0.18,1.14,1.3,ZJ,J,none,999,yes,2,no,normal,no,0.5,n
NIFS,spec,0.103,0.043,3,0.1,10,5290,1.65,0.31,1.48,1.7,JH,H,none,999,yes,2,no,normal,no,0.5,n
NIFS,spec,0.103,0.043,3,0.1,10,5290,2.2,0.43,1.98,2.41,HK,K,none,999,yes,2,no,normal,no,0.5,n
NIFS,spec,0.103,0.043,3,0.1,10,5290,2.2,0.43,1.98,2.41,HK,K,Occulting Disk 0.1,0.1,yes,2,yes,normal,no,0.5,n
NIFS,spec,0.103,0.043,3,0.1,10,5290,2.2,0.43,1.98,2.41,HK,K,Occulting Disk 0.2,0.2,yes,2,yes,normal,no,0.5,n
NIFS,spec,0.103,0.043,3,0.1,10,5290,2.2,0.43,1.98,2.41,HK,K,Occulting Disk 0.5,0.5,yes,2,yes,normal,no,0.5,n
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,2800,1.25,0.16,1.17,1.33,J,R3K,2pixel,0.36,no,1,no,normal,no,0.5,s
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,2800,1.65,0.29,1.49,1.78,H,R3K,2pixel,0.36,no,1,no,normal,no,0.5,s
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,2900,2.157,0.329,1.991,2.32,Ks,R3K,2pixel,0.36,no,1,no,normal,no,0.5,s
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,2900,2.06,0.183,1.934,2.117,K-blue,R3K,2pixel,0.36,no,1,no,normal,no,0.5,s
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,2900,2.31,0.265,2.181,2.446,K-red,R3K,2pixel,0.36,no,1,no,nor al,no,0.5,s
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,900,1.39,0.835,0.97,1.805,JH,JH,2pixel,0.36,no,1,no,normal,no,0.5,s
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,900,1.871,1.29,1.261,2.551,HK,HK,2pixel,0.36,no,1,no,normal,no,0.5,s
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,2800,1.25,0.16,1.17,1.33,J,R3K,MOS,0.36,no,1,no,normal,yes,0.5,s
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,2800,1.65,0.29,1.49,1.78,H,R3K,MOS,0.36,no,1,no,normal,yes,0.5,s
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,2900,2.157,0.329,1.991,2.32,Ks,R3K,MOS,0.36,no,1,no,normal,yes,0.5,s
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,2900,2.06,0.183,1.934,2.117,K-blue,R3K,MOS,0.36,no,1,no,normal,yes,0.5,s
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,2900,2.31,0.265,2.181,2.446,K-red,R3K,MOS,0.36,no,1,no,normal,yes,0.5,s
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,900,1.39,0.835,0.97,1.805,JH,JH,MOS,0.36,no,1,no,normal,yes,0.5,s
FLAMINGOS2,spec,0.178,0.178,263,0.25,10,900,1.871,1.29,1.261,2.551,HK,HK,MOS,0.36,no,1,no,normal,yes,0.5,s
GMOS-N,imaging,0.08,0.08,330,0.25,10,3.084415584,0.475,0.154,0.398,0.552,g,none,none,999,no,2,no,normal,no,1,n
GMOS-N,imaging,0.08,0.08,330,0.25,10,4.632352941,0.63,0.136,0.562,0.698,r,none,none,999,no,2,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,1688,0.461,0.73,0.37,1.1,none,B600,0.5arcsec,0.5,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,3744,0.461,0.73,0.37,1.1,none,B1200,0.5arcsec,0.5,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,4396,0.757,0.73,0.37,1.1,none,R831,0.5arcsec,0.5,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,1918,0.764,0.73,0.37,1.1,none,R400,0.5arcsec,0.5,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,631,0.717,0.73,0.37,1.1,none,R150,0.5arcsec,0.5,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,844,0.461,0.73,0.37,1.1,none,B600,1.0arcsec,1,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,1872,0.461,0.73,0.37,1.1,none,B1200,1.0arcsec,1,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,2198,0.757,0.73,0.37,1.1,none,R831,1.0arcsec,1,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,959,0.764,0.73,0.37,1.1,none,R400,1.0arcsec,1,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,315.5,0.717,0.73,0.37,1.1,none,R150,1.0arcsec,1,no,1,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,5,0.25,10,2722,0.461,0.73,0.37,1.1,none,B600,IFU1,999,no,2,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,7,0.25,10,2722,0.461,0.154,0.398,0.552,g,B600,IFU2,999,no,2,no,normal,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,844,0.461,0.73,0.37,1.1,none,B600,MOS,1,no,1,no,high,yes,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,1872,0.461,0.73,0.37,1.1,none,B1200,MOS,1,no,1,no,high,yes,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,2198,0.757,0.73,0.37,1.1,none,R831,MOS,1,no,1,no,high,yes,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,959,0.764,0.73,0.37,1.1,none,R400,MOS,1,no,1,no,high,yes,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,315.5,0.717,0.73,0.37,1.1,none,R150,MOS,1,no,1,no,high,yes,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,844,0.461,0.73,0.37,1.1,none,B600,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,1872,0.461,0.73,0.37,1.1,none,B1200,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,2198,0.757,0.73,0.37,1.1,none,R831,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,2198,0.86,0.153,0.78,0.933,CaT,R831,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,959,0.764,0.73,0.37,1.1,none,R400,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,315.5,0.717,0.73,0.37,1.1,none,R150,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,315.5,0.78,0.64,0.46,1.1,GG455,R150,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GMOS-N,spec,0.08,0.08,330,0.25,10,315.5,0.81,0.58,0.52,1.1,GG515,R150,N&S 1.0arcsec,1,no,1,no,high,no,1,n
GPI,spec,,,2.8,0.05,10,35,1.045,0.19,0.95,1.14,Y,GPI,Coronagraph,0.156,yes,2,yes,normal,no,0.5,s
GPI,spec,,,2.8,0.05,10,36,1.235,0.23,1.12,1.35,J,GPI,Coronagraph,0.184,yes,2,yes,normal,no,0.5,s
GPI,spec,,,2.8,0.05,10,46,1.65,0.3,1.5,1.8,H,GPI,Coronagraph,0.246,yes,2,yes,normal,no,0.5,s
GPI,spec,,,2.8,0.05,10,66,2.045,0.29,1.9,2.19,K1,GPI,Coronagraph,0.306,yes,2,yes,normal,no,0.5,s
GPI,spec,,,2.8,0.05,10,79,2.265,0.27,2.13,2.4,K2,GPI,Coronagraph,0.306,yes,2,yes,normal,no,0.5,s
GPI,imaging,,,2.8,0.05,10,35,1.045,0.19,0.95,1.14,Y,none,none,999,yes,2,no,normal,no,0.5,s
GPI,imaging,,,2.8,0.05,10,36,1.235,0.23,1.12,1.35,J,none,none,999,yes,2,no,normal,no,0.5,s
GPI,imaging,,,2.8,0.05,10,46,1.65,0.3,1.5,1.8,H,none,none,999,yes,2,no,normal,no,0.5,s
GPI,imaging,,,2.8,0.05,10,66,2.045,0.29,1.9,2.19,K1,none,none,999,yes,2,no,normal,no,0.5,s
GPI,imaging,,,2.8,0.05,10,79,2.265,0.27,2.13,2.4,K2,none,none,999,yes,2,no,normal,no,0.5,s
GPI,polarimetry,,,2.8,0.05,10,35,1.045,0.19,0.95,1.14,Y,none,Coronagraph,0.156,yes,2,yes,normal,no,0.5,s
GPI,polarimetry,,,2.8,0.05,10,36,1.235,0.23,1.12,1.35,J,none,Coronagraph,0.184,yes,2,yes,normal,no,0.5,s
GPI,polarimetry,,,2.8,0.05,10,46,1.65,0.3,1.5,1.8,H,none,Coronagraph,0.246,yes,2,yes,normal,no,0.5,s
GPI,polarimetry,,,2.8,0.05,10,66,2.045,0.29,1.9,2.19,K1,none,Coronagraph,0.306,yes,2,yes,normal,no,0.5,s
GPI,polarimetry,,,2.8,0.05,10,79,2.265,0.27,2.13,2.4,K2,none,Coronagraph,0.306,yes,2,yes,normal,no,0.5,s
